# Lego2STL colour cross-reference. Generated from the Rebrickable API; do not hand-edit.
# Regenerate with: lego2stl refresh-colors
# C lines are colours. M lines are the reverse map: scheme;code;rebrickable_id.
C;rebrickable_id;name;rgb;is_trans;bricklink_id;lego_id;ldraw_id;part_count
M;BrickLink;227;1007
M;BrickLink;228;1055
M;BrickLink;229;1056
M;BrickLink;230;1059
M;BrickLink;231;1068
M;BrickLink;232;1061
M;BrickLink;233;1060
M;BrickLink;234;1094
M;BrickLink;235;1065
M;BrickLink;236;1062
M;BrickLink;237;1083
M;BrickLink;238;1084
M;BrickLink;239;1085
M;BrickLink;240;1088
M;BrickLink;241;1089
M;BrickLink;242;1142
M;BrickLink;244;1073
M;BrickLink;245;1001
M;BrickLink;246;1093
M;BrickLink;247;1074
M;BrickLink;248;1077
M;BrickLink;249;1063
M;BrickLink;250;1092
M;BrickLink;251;1095
M;BrickLink;252;1069
M;BrickLink;253;1071
M;BrickLink;254;1070
M;BrickLink;255;1072
M;Rebrickable;-1;-1
M;Rebrickable;0;0
M;Rebrickable;1;1
M;Rebrickable;2;2
M;Rebrickable;3;3
M;Rebrickable;4;4
M;Rebrickable;5;5
M;Rebrickable;6;6
M;Rebrickable;7;7
M;Rebrickable;8;8
M;Rebrickable;9;9
M;Rebrickable;10;10
M;Rebrickable;11;11
M;Rebrickable;12;12
M;Rebrickable;13;13
M;Rebrickable;14;14
M;Rebrickable;15;15
M;Rebrickable;17;17
M;Rebrickable;18;18
M;Rebrickable;19;19
M;Rebrickable;20;20
M;Rebrickable;21;21
M;Rebrickable;22;22
M;Rebrickable;23;23
M;Rebrickable;25;25
M;Rebrickable;26;26
M;Rebrickable;27;27
M;Rebrickable;28;28
M;Rebrickable;29;29
M;Rebrickable;30;30
M;Rebrickable;31;31
M;Rebrickable;32;32
M;Rebrickable;33;33
M;Rebrickable;34;34
M;Rebrickable;35;35
M;Rebrickable;36;36
M;Rebrickable;40;40
M;Rebrickable;41;41
M;Rebrickable;42;42
M;Rebrickable;43;43
M;Rebrickable;45;45
M;Rebrickable;46;46
M;Rebrickable;47;47
M;Rebrickable;52;52
M;Rebrickable;54;54
M;Rebrickable;57;57
M;Rebrickable;60;60
M;Rebrickable;61;61
M;Rebrickable;62;62
M;Rebrickable;63;63
M;Rebrickable;64;64
M;Rebrickable;68;68
M;Rebrickable;69;69
M;Rebrickable;70;70
M;Rebrickable;71;71
M;Rebrickable;72;72
M;Rebrickable;73;73
M;Rebrickable;74;74
M;Rebrickable;75;75
M;Rebrickable;76;76
M;Rebrickable;77;77
M;Rebrickable;78;78
M;Rebrickable;79;79
M;Rebrickable;80;80
M;Rebrickable;81;81
M;Rebrickable;82;82
M;Rebrickable;84;84
M;Rebrickable;85;85
M;Rebrickable;86;86
M;Rebrickable;89;89
M;Rebrickable;92;92
M;Rebrickable;100;100
M;Rebrickable;110;110
M;Rebrickable;112;112
M;Rebrickable;114;114
M;Rebrickable;115;115
M;Rebrickable;117;117
M;Rebrickable;118;118
M;Rebrickable;120;120
M;Rebrickable;125;125
M;Rebrickable;129;129
M;Rebrickable;132;132
M;Rebrickable;133;133
M;Rebrickable;134;134
M;Rebrickable;135;135
M;Rebrickable;137;137
M;Rebrickable;142;142
M;Rebrickable;143;143
M;Rebrickable;148;148
M;Rebrickable;150;150
M;Rebrickable;151;151
M;Rebrickable;158;158
M;Rebrickable;178;178
M;Rebrickable;179;179
M;Rebrickable;182;182
M;Rebrickable;183;183
M;Rebrickable;191;191
M;Rebrickable;212;212
M;Rebrickable;216;216
M;Rebrickable;226;226
M;Rebrickable;230;230
M;Rebrickable;232;232
M;Rebrickable;236;236
M;Rebrickable;272;272
M;Rebrickable;288;288
M;Rebrickable;294;294
M;Rebrickable;297;297
M;Rebrickable;308;308
M;Rebrickable;313;313
M;Rebrickable;320;320
M;Rebrickable;321;321
M;Rebrickable;322;322
M;Rebrickable;323;323
M;Rebrickable;326;326
M;Rebrickable;334;334
M;Rebrickable;335;335
M;Rebrickable;351;351
M;Rebrickable;366;366
M;Rebrickable;373;373
M;Rebrickable;378;378
M;Rebrickable;379;379
M;Rebrickable;383;383
M;Rebrickable;450;450
M;Rebrickable;462;462
M;Rebrickable;484;484
M;Rebrickable;503;503
M;Rebrickable;1000;1000
M;Rebrickable;1001;1001
M;Rebrickable;1002;1002
M;Rebrickable;1003;1003
M;Rebrickable;1004;1004
M;Rebrickable;1005;1005
M;Rebrickable;1006;1006
M;Rebrickable;1007;1007
M;Rebrickable;1008;1008
M;Rebrickable;1009;1009
M;Rebrickable;1010;1010
M;Rebrickable;1011;1011
M;Rebrickable;1012;1012
M;Rebrickable;1013;1013
M;Rebrickable;1014;1014
M;Rebrickable;1015;1015
M;Rebrickable;1016;1016
M;Rebrickable;1017;1017
M;Rebrickable;1018;1018
M;Rebrickable;1019;1019
M;Rebrickable;1020;1020
M;Rebrickable;1021;1021
M;Rebrickable;1022;1022
M;Rebrickable;1023;1023
M;Rebrickable;1024;1024
M;Rebrickable;1025;1025
M;Rebrickable;1026;1026
M;Rebrickable;1027;1027
M;Rebrickable;1028;1028
M;Rebrickable;1029;1029
M;Rebrickable;1030;1030
M;Rebrickable;1031;1031
M;Rebrickable;1032;1032
M;Rebrickable;1033;1033
M;Rebrickable;1034;1034
M;Rebrickable;1035;1035
M;Rebrickable;1036;1036
M;Rebrickable;1037;1037
M;Rebrickable;1038;1038
M;Rebrickable;1039;1039
M;Rebrickable;1040;1040
M;Rebrickable;1041;1041
M;Rebrickable;1042;1042
M;Rebrickable;1043;1043
M;Rebrickable;1044;1044
M;Rebrickable;1045;1045
M;Rebrickable;1046;1046
M;Rebrickable;1047;1047
M;Rebrickable;1048;1048
M;Rebrickable;1049;1049
M;Rebrickable;1050;1050
M;Rebrickable;1051;1051
M;Rebrickable;1052;1052
M;Rebrickable;1053;1053
M;Rebrickable;1054;1054
M;Rebrickable;1055;1055
M;Rebrickable;1056;1056
M;Rebrickable;1057;1057
M;Rebrickable;1058;1058
M;Rebrickable;1059;1059
